file_path,file_id,sequence_id,participant_id,phrase
ChicagoFSWildPlus/Batch24/without_cable_conv_box_3_A2Q8Q1BE2JQR4C_0,9000000,9000000,1024,cable box
ChicagoFSWildPlus/Batch24/The_Pearls-Rosa_Lee_9_A3EQHQZE25TTHE_1,9000000,9000001,1245,parl
ChicagoFSWildPlus/Batch25/The_Real_Loser_3_A1TCQUK1F20CX0_0,9000000,9000002,1117,leak
ChicagoFSWild/deafvideo_1/deafaynrand_1174,9000000,9000003,0020,acents
ChicagoFSWildPlus/Batch31/DM_61714_10_APZUMUMSJ59GH_13,9000000,9000004,1012,tornado or
ChicagoFSWildPlus/Batch31/DM_61814_6_A2KK5BSM1BR0WR_1,9000000,9000005,1012,eric lefres 
ChicagoFSWildPlus/Batch12/Parallel_Between_CSD_Fremont_3_A1YHAWNKMBBOXM_6,9000000,9000006,1222,oct
ChicagoFSWildPlus/Batch23/Shakeology_how_3_A18LZUX7ES0QI9_8,9000000,9000007,1278,ice
ChicagoFSWildPlus/Batch30/SDSD_Frank_Turk_6_A18LZUX7ES0QI9_13,9000000,9000008,1288,the
ChicagoFSWildPlus/Batch20/Deaf_People_Tell_5_A18LZUX7ES0QI9_15,9000000,9000009,1040,tv
ChicagoFSWildPlus/Batch10/Review_of_The_Walking_6_AIU1NJREW2JSG_1,9000000,9000010,1275,date
ChicagoFSWildPlus/Batch29/DM_61317_5_A2Q8Q1BE2JQR4C_5,9000000,9000011,1012,ga
ChicagoFSWildPlus/Batch26/Wing_Butler-Onsite_11_A1R3VX1KIZH9CP_4,9000000,9000012,1358,menu
ChicagoFSWildPlus/Batch16/My_Thoughts_on_the_FCC_6_A39XPCDK2O844L_0,9000000,9000013,1121,htk
ChicagoFSWildPlus/Batch32/Need_tips_about_Concrete_4_A2KK5BSM1BR0WR_1,9000000,9000014,1089,concrete
ChicagoFSWildPlus/Batch33/TEDxIslay-Mei_Kennedy_7_A18LZUX7ES0QI9_3,9000000,9000015,1078,enfi
ChicagoFSWildPlus/Batch22/Star_Wars_Original_0_A18LZUX7ES0QI9_10,9000000,9000016,1021,wars
ChicagoFSWildPlus/Batch29/DWUMentorTraining_3_A1TCQUK1F20CX0_0,9000000,9000017,1253,mentee
ChicagoFSWildPlus/Batch5/Daniel_Mixon_1_0_1,9000000,9000018,1214,daniel
ChicagoFSWildPlus/Batch33/Several_European_countries_3_A2Q8Q1BE2JQR4C_9,9000000,9000019,1001,syria
ChicagoFSWildPlus/Batch23/Shakeology_how_6_A18LZUX7ES0QI9_4,9000000,9000020,1278,then
ChicagoFSWildPlus/Batch5/Deaf_advocacy_and_8_0_1,9000000,9000021,1066,sued
ChicagoFSWildPlus/Batch20/DeafNation_DeafUnited_LanguagePeople_33_A18LZUX7ES0QI9_0,9000000,9000022,1012,crowd
ChicagoFSWildPlus/Batch20/DM_5817_13_A2KK5BSM1BR0WR_6,9000000,9000023,1012,aulae
ChicagoFSWildPlus/Batch10/SNASL-Algal_6_A1YHAWNKMBBOXM_6,9000000,9000024,1301,gills
ChicagoFSWildPlus/Batch6/3-Day_Refresh_4_1_18,9000000,9000025,1278,metabolism by
ChicagoFSWildPlus/Batch18/The_Importance_of_Refusing_38_A18LZUX7ES0QI9_0,9000000,9000026,1226,all
ChicagoFSWildPlus/Batch10/Interview_with_Teraca_Florence_6_AIU1NJREW2JSG_6,9000000,9000027,1092,tank
ChicagoFSWild/deafvideo_3/deafmermaid_3704,9000000,9000028,0031,theme park
ChicagoFSWildPlus/Batch6/AFA_Mission_LSL_Rally_0_0_7,9000000,9000029,1327,asl
ChicagoFSWildPlus/Batch30/SDSD_Frank_Turk_2_A1TCQUK1F20CX0_10,9000000,9000030,1288,the
ChicagoFSWildPlus/Batch24/The_Pearls-Lizzie_Sorkin_11_A18LZUX7ES0QI9_5,9000000,9000031,1247,s
ChicagoFSWildPlus/Batch27/DM_5917_8_A1TCQUK1F20CX0_1,9000000,9000032,1012,comey
ChicagoFSWildPlus/Batch28/CM_Hall-New_4_A2IP2OUW1DYJXU_0,9000000,9000033,1127,aa ba ma
ChicagoFSWild/youtube_5/stephanie_nogueras_5872,9000000,9000034,0074,leat katherine
ChicagoFSWildPlus/Batch27/Council_of_Deaf-Hard_of_Hearing-DeafBlind_3_APZUMUMSJ59GH_5,9000000,9000035,1255,ft
ChicagoFSWild/youtube_5/sean_berdy_6104,9000000,9000036,0113,all
ChicagoFSWildPlus/Batch23/Shakeology_how_10_A18LZUX7ES0QI9_5,9000000,9000037,1278,whole
ChicagoFSWild/youtube_1/alexandria_wailes_1842,9000000,9000038,0051,all
ChicagoFSWildPlus/Batch31/Climate_Change_Paris_Pact_3_A2Q8Q1BE2JQR4C_6,9000000,9000039,1001,pact
ChicagoFSWildPlus/Batch26/WHY_SHARKS_0_A18LZUX7ES0QI9_3,9000000,9000040,1043,mass
ChicagoFSWildPlus/Batch18/The_Holcomb_Family_5_A2KK5BSM1BR0WR_5,9000000,9000041,1070,ma
ChicagoFSWild/deafvideo_5/kathyfans_6364,9000000,9000042,0135,cool
ChicagoFSWildPlus/Batch20/Deaf_Owned_Collision_Center_9_A1F0Y9W6IR2DRB_2,9000000,9000043,1150,nas
ChicagoFSWild/youtube_2/insanemisha_3656,9000000,9000044,0059,if
ChicagoFSWildPlus/Batch18/The_Deaf_Inconvenient_Truth_7_A2KK5BSM1BR0WR_2,9000000,9000045,1322,too
ChicagoFSWildPlus/Batch13/Updates_on_the_Interpreter_0_A38TMY19OO99NJ_4,9000000,9000046,1234,at
ChicagoFSWildPlus/Batch33/POM_Registrant_Updates_4_APZUMUMSJ59GH_4,9000000,9000047,1258,knoka
